name,path,owner,purpose,inputs,outputs,side_effects,dependencies,last_modified,test_coverage,repro_steps,acceptance_tests,known_limitations,checksum
market_liquidity_ingestion_quant_v1.py,scripts/analytics/market_liquidity_ingestion_quant_v1.py,,Script market_liquidity_ingestion_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,530fc80299c2224e0e4d1989aae40629fdac6b778fdf54881dd2c78738978d54
multi_horizon_signal_quant_v1.py,scripts/analytics/multi_horizon_signal_quant_v1.py,,Script multi_horizon_signal_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,e8d52583516277a2e1995622dc962e729acb312a1321188287978f4bf8d19221
optimiser_performance_report_quant_v1.py,scripts/analytics/optimiser_performance_report_quant_v1.py,,Script optimiser_performance_report_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,c4a62f2beff8e8460569112c773f48d8844af2f32c332b1c579ea590ae82a4a3
optimiser_quant_v2.py,scripts/analytics/optimiser_quant_v2.py,,Script optimiser_quant_v2.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,91906e1b6f5bfc85e5c9d55123e5ecae6b5a6e6eef325b32b5a26b231c52aee4
optimiser_regime_quant_v1.py,scripts/analytics/optimiser_regime_quant_v1.py,,Script optimiser_regime_quant_v1.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,88069bdb75aad25a9bc2ec47146bee1bff2730ecc0227601ac5215a2fcfcdb14
patch_risk_model_add_idio_var_quant_v1.py,scripts/analytics/patch_risk_model_add_idio_var_quant_v1.py,,Script patch_risk_model_add_idio_var_quant_v1.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,f4d6963facd677bca687e52c9a13f87c50faa54166627038797f7348c3937f29
performance_engine_quant_v1.py,scripts/analytics/performance_engine_quant_v1.py,,Script performance_engine_quant_v1.py — purpose to be filled by owner,,,,,2026-01-21,unit: no; integration: no,,,,9a8e6f7229b0db914839b36a4e1489e1b6a8bff70169cf05d291813dba8510d0
portfolio_engine_quant_v1.py,scripts/analytics/portfolio_engine_quant_v1.py,,Script portfolio_engine_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,1c35c1b0828195de9a8204b50cd042c320dd520d11ffdff19c3bf2ed927bb30b
portfolio_engine_quant_v2.py,scripts/analytics/portfolio_engine_quant_v2.py,,Script portfolio_engine_quant_v2.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,8cef86df59738b0cfa8c098760725f7bf9b80ea53671dde76b5cb458d61cd39c
portfolio_performance_v2.py,scripts/analytics/portfolio_performance_v2.py,,Script portfolio_performance_v2.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,edfe93bd18d10ebeab8ba760f75a8e6e77ce22998824b673b8a05ecccd9bee36
position_sizing_engine_quant_v1.py,scripts/analytics/position_sizing_engine_quant_v1.py,,Script position_sizing_engine_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,1e0e92bda7bcdae4a016eaf8948feb900975633ef8498985c0e0013485d89649
position_sizing_engine_quant_v1_osqp.py,scripts/analytics/position_sizing_engine_quant_v1_osqp.py,,Script position_sizing_engine_quant_v1_osqp.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,febd5fe8db3c2d3fdaa67c845301e26c23e35670e3e4f01105b73e9bf67f9e34
position_sizing_engine_quant_v1_regime.py,scripts/analytics/position_sizing_engine_quant_v1_regime.py,,Script position_sizing_engine_quant_v1_regime.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,7db1b845079d9368806289baf6b9a376146f9577f4cbd47a790165b109b74883
print_verification_headers.py,scripts/analytics/print_verification_headers.py,,Script print_verification_headers.py — purpose to be filled by owner,,,,,2026-02-02,unit: no; integration: no,,,,7a39817c4c94c07966e824b9db35221ac06116c2b44a5d6a2ba8d6473900cce8
quant_alpha_engine_v2.py,scripts/analytics/quant_alpha_engine_v2.py,,Script quant_alpha_engine_v2.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,93c74f0a1eb7a478c6c4cd340ac6e6202ba98e072ede2317b0a5fa3e29a4a4fd
quant_attribution_tradable_v1.py,scripts/analytics/quant_attribution_tradable_v1.py,,Script quant_attribution_tradable_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,10c1585dad466ca91962072a57ef244dd76eac0387d3a8fb04f44faf421c86b5
quant_attribution_v1.py,scripts/analytics/quant_attribution_v1.py,,Script quant_attribution_v1.py — purpose to be filled by owner,,,,,2026-01-29,unit: no; integration: no,,,,6cacf3eb7eb3879739e05d916c1f1e23f6612b2d986a7037f6b68cf721ea93a9
quant_attribution_v1_1.py,scripts/analytics/quant_attribution_v1_1.py,,Script quant_attribution_v1_1.py — purpose to be filled by owner,,,,,2026-01-29,unit: no; integration: no,,,,824914d474fdeb6e290b0733c5320807816960d9d0f7ab6f3e218e0348bd0b4c
quant_backtest_pnl_v1.py,scripts/analytics/quant_backtest_pnl_v1.py,,Script quant_backtest_pnl_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,255e40abc273f2f847739b569c772bbada906600fcddc1296a152a9c0333654d
quant_backtest_regime_10stock_v1.py,scripts/analytics/quant_backtest_regime_10stock_v1.py,,Script quant_backtest_regime_10stock_v1.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,4fc9e23968098a467c8b1c089889dba9db5a55d8c51d6b0720f912b3d28c5fdf
quant_backtest_v1.py,scripts/analytics/quant_backtest_v1.py,,Script quant_backtest_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,7c295288243d7bbc076c09649ae85ab4be0657ae7ddb3d903b430724543aceb0
realized_returns_v1.py,scripts/analytics/realized_returns_v1.py,,Script realized_returns_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,b13ba79cd5b794fa266d21907f33c34f63dd4430bd950e4d56f8a511a0a6c62d
regime_adjustments_quant_v1.py,scripts/analytics/regime_adjustments_quant_v1.py,,Script regime_adjustments_quant_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,47bf2e492573dd15b7845f77baf137a9f24e75fc68a012f7d8bd6dbf20a31d83
regime_awareness_quant_v1.py,scripts/analytics/regime_awareness_quant_v1.py,,Script regime_awareness_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,514115bfdc93e01750d2682b0b696af9443b2f421067c40d7265b252224326e9
regime_classifier_quant_v1.py,scripts/analytics/regime_classifier_quant_v1.py,,Script regime_classifier_quant_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,a598964433e06e5b3a3c25b9ff8754d7843f40af0d0dbeb459e1115fa0b87a7a
regime_exposure_quant_v1.py,scripts/analytics/regime_exposure_quant_v1.py,,Script regime_exposure_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,1509b92f06326b283d175183a09665f62c165cc7a85f18cdcc66e6ee403eea48
regime_factor_weighting_quant_v1.py,scripts/analytics/regime_factor_weighting_quant_v1.py,,Script regime_factor_weighting_quant_v1.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,1a9dc098e94c51e69380c83349b52555e73fa42c52e60818e31b824138fbbc3e
regime_portfolio_controls_quant_v1.py,scripts/analytics/regime_portfolio_controls_quant_v1.py,,Script regime_portfolio_controls_quant_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,b249f3b5fb3b74c2dd7dfc7c1a5e1eb986faf0da7df1f7f92ae5575fa8fec859
