date,impact_on_final_nav
2026-01-19,0.0
2024-03-29,0.0
2025-05-26,0.0
2023-06-19,0.0
2023-12-25,0.0
2022-01-17,0.0
2022-04-15,0.0
2024-11-04,0.000243884660135639
2024-10-17,0.0002656731030328856
2025-03-25,0.00032078976339002034
2023-04-24,0.00034659024466464285
2021-06-17,0.000532126139334874
2023-05-09,0.0009087507130815394
2025-10-21,0.0010204706210774287
2021-04-12,0.001286093676041223
2024-12-02,0.001366760946250224
2023-09-22,0.0014120279195748476
2023-08-11,0.0014184057968900964
2024-05-07,0.001716390786934997
2025-11-11,0.001768197103247101
2022-04-18,0.0021242408372544124
2024-03-28,0.002532813544541186
2025-07-01,0.002993834297487609
2025-12-04,0.003051426628433053
2024-03-19,0.0033039840502880435
2022-10-05,0.003453724874580963
2023-02-28,0.0037535579434276383
2021-09-09,0.004009442809802038
2024-10-03,0.004034274868579971
2025-06-10,0.004285242013493669
2023-05-01,0.005670805177903478
2025-03-27,0.005678795232857781
2023-09-07,0.005812089864971618
2023-02-22,0.006378427114968601
2022-12-02,0.00748790933115913
2021-09-16,0.008327047402787491
2021-03-03,0.00890883181713893
2025-08-06,0.00968185419537694
2023-12-18,0.009699498797218828
2021-12-31,0.010222999995616067
2023-05-11,0.01039470613175785
2022-01-13,0.01109215963712914
2023-10-05,0.012171847504142883
2024-10-30,0.012451201243475181
2024-11-26,0.014871384642196577
2025-05-05,0.015144591419061736
2024-09-04,0.016334304204877855
2025-06-20,0.0170560247515097
2026-01-16,0.017349488369605124
2023-04-03,0.018232326459855452
2022-08-16,0.018787050099395585
2021-11-23,0.01954432563332147
2024-12-23,0.019690874276373574
2024-02-05,0.01979406630116914
2024-12-26,0.019955897880697553
2023-12-28,0.020525425796109022
2023-04-06,0.021392004019007673
2023-08-31,0.021392956667732842
2024-03-15,0.021941349447493565
2023-11-16,0.022304508318563433
2023-12-04,0.022357510606431732
2023-09-08,0.022923686503649662
2024-07-29,0.023327731926973717
2023-06-14,0.023574200812387553
2025-09-23,0.023611318215083877
2023-05-03,0.023834163317466073
2022-04-12,0.024283626109145494
2022-05-02,0.024774538718389246
2021-04-13,0.025162809389689088
2021-08-02,0.02562990429534105
2025-07-30,0.02616641716880258
2021-08-10,0.026326790874299455
2024-01-04,0.026403406256178128
2024-11-25,0.026621875224001574
2025-10-14,0.027049606153620193
2025-01-02,0.02790913084907346
2023-05-22,0.0283309949583049
2021-11-15,0.02846379454402579
2022-03-04,0.02890029574021021
2024-12-03,0.029248087830149636
2021-09-29,0.02929998014969055
2025-05-19,0.02940780223077427
2021-06-02,0.029674987377738334
2022-12-27,0.029975172200498137
2023-11-28,0.03063375785066926
2021-06-28,0.030665562785064424
2023-11-13,0.03086341337460808
2021-07-30,0.03099467932509038
2021-04-28,0.031320753079868154
2021-11-18,0.03150557023029612
2024-08-16,0.03154636049170397
2025-01-13,0.03155496821977385
2023-06-05,0.031774857717615256
2025-01-29,0.03182189528959689
2025-12-09,0.03201227839673166
2021-09-03,0.03217736170418931
2025-08-26,0.03222296520540225
2022-05-10,0.03242847849504547
2024-09-27,0.032586331096580747
2025-06-11,0.03264938619711933
2023-09-18,0.03357850576416341
2021-11-09,0.03369656785207939
2024-07-09,0.033716601923276725
2025-10-03,0.03399455260289625
2023-11-27,0.03429790511740526
2024-11-01,0.03432476613456285
2023-01-09,0.03432975263024682
2025-07-14,0.034742967971754926
2023-11-15,0.03475210413835586
2025-12-15,0.03525403710432304
2023-07-19,0.03555912079195001
2024-12-19,0.035687751596488584
2025-08-18,0.03574437653442947
2024-08-09,0.035883224577312585
2025-05-01,0.03602696754727735
2023-03-01,0.03653328279219889
2025-05-09,0.036745861648842935
2021-10-06,0.036897464909669546
2021-08-05,0.03734454226470035
2025-01-08,0.03769530647325734
