date,ticker,company_name,market_sector,open,high,low,close,adj_close,volume,run_date
23/01/2026,APTV,Aptiv PLC,Consumer Cyclical,77.16999817,77.88999939,76.04000092,76.47000122,76.47000122,1507800,2026-01-25 21:27:44 UTC
19/01/2026,ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,56.95999908,58.22000122,56.79000092,57.88999939,57.88999939,2688800,2026-01-25 21:27:44 UTC
23/01/2026,ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,57.86999893,59.75999832,57.84999847,59.68999863,59.68999863,1922100,2026-01-25 21:27:44 UTC
19/01/2026,ARM,Arm Holdings plc,Technology,106.6600037,107.9599991,105.1900024,105.7799988,105.7799988,5291100,2026-01-25 21:27:44 UTC
23/01/2026,ARM,Arm Holdings plc,Technology,120.8799973,121.8499985,114.5800018,116.0699997,116.0699997,6798000,2026-01-25 21:27:44 UTC
19/01/2026,ASML,ASML Holding N.V.,Technology,1355.709961,1375.369995,1338.23999,1358.569946,1358.569946,2469100,2026-01-25 21:27:44 UTC
23/01/2026,ASML,ASML Holding N.V.,Technology,1376.319946,1393.359985,1363.27002,1389.040039,1389.040039,1554200,2026-01-25 21:27:44 UTC
19/01/2026,ATO,Atmos Energy Corporation,Utilities,169.3699951,170.6699982,169.1300049,170.4700012,170.4700012,1372900,2026-01-25 21:27:44 UTC
23/01/2026,ATO,Atmos Energy Corporation,Utilities,165.2599945,165.5299988,163.5700073,165.3399963,165.3399963,2542700,2026-01-25 21:27:44 UTC
19/01/2026,AVB,"AvalonBay Communities, Inc.",Real Estate,180.1499939,183,178.1600037,182.4199982,182.4199982,1642400,2026-01-25 21:27:44 UTC
23/01/2026,AVB,"AvalonBay Communities, Inc.",Real Estate,175.3699951,178.8300018,175.0800018,178.7700043,178.7700043,1198800,2026-01-25 21:27:44 UTC
19/01/2026,AVGO,Broadcom Inc.,Technology,346.269989,354.5100098,344.0499878,351.7099915,351.7099915,31291200,2026-01-25 21:27:44 UTC
23/01/2026,AVGO,Broadcom Inc.,Technology,319.2999878,321.9899902,314.1099854,320.0499878,320.0499878,30224400,2026-01-25 21:27:44 UTC
19/01/2026,AVY,Avery Dennison Corporation,Consumer Cyclical,188.0099945,188.8099976,185.7799988,188.6499939,188.6499939,767100,2026-01-25 21:27:44 UTC
23/01/2026,AVY,Avery Dennison Corporation,Consumer Cyclical,185.3800049,187.4700012,184.6600037,187.4299927,187.4299927,495100,2026-01-25 21:27:44 UTC
19/01/2026,AWK,"American Water Works Company, Inc.",Utilities,132.6900024,133.7299957,132.3200073,133.3399963,133.3399963,1532000,2026-01-25 21:27:44 UTC
23/01/2026,AWK,"American Water Works Company, Inc.",Utilities,131.5599976,131.8800049,129.2700043,129.7100067,129.7100067,1184600,2026-01-25 21:27:44 UTC
19/01/2026,AXON,"Axon Enterprise, Inc.",Industrials,641.0900269,649.2999878,633.0900269,636.039978,636.039978,678400,2026-01-25 21:27:44 UTC
23/01/2026,AXON,"Axon Enterprise, Inc.",Industrials,608.7999878,622.3900146,605,613.1400146,613.1400146,423000,2026-01-25 21:27:44 UTC
19/01/2026,AXP,American Express Company,Financial Services,361.1499939,369.3999939,359.8999939,364.7900085,364.7900085,3555100,2026-01-25 21:27:44 UTC
23/01/2026,AXP,American Express Company,Financial Services,362.730011,363.75,358.25,361.6900024,361.6900024,2801800,2026-01-25 21:27:44 UTC
19/01/2026,AZN,AstraZeneca PLC,Healthcare,94.47000122,94.68000031,93.51000214,94.38999939,94.38999939,55050500,2026-01-25 21:27:44 UTC
23/01/2026,AZN,AstraZeneca PLC,Healthcare,92.05999756,92.98999786,91.44000244,92.94999695,92.94999695,4322800,2026-01-25 21:27:44 UTC
19/01/2026,AZO,"AutoZone, Inc.",Consumer Cyclical,3456.629883,3528.399902,3410.719971,3522.02002,3522.02002,192100,2026-01-25 21:27:44 UTC
23/01/2026,AZO,"AutoZone, Inc.",Consumer Cyclical,3711.52002,3731.659912,3652.379883,3700,3700,173800,2026-01-25 21:27:44 UTC
19/01/2026,BA,The Boeing Company,Industrials,247.75,248.1900024,244.9600067,247.6799927,247.6799927,5944200,2026-01-25 21:27:44 UTC
23/01/2026,BA,The Boeing Company,Industrials,252.7400055,253.7700043,249.0200043,252.1499939,252.1499939,7073100,2026-01-25 21:27:44 UTC
19/01/2026,BAC,Bank of America Corporation,Financial Services,52.68999863,53.38000107,52.25,52.97000122,52.97000122,52178400,2026-01-25 21:27:44 UTC
23/01/2026,BAC,Bank of America Corporation,Financial Services,52.11000061,52.20000076,51.38000107,51.72000122,51.72000122,34532500,2026-01-25 21:27:44 UTC
19/01/2026,BALL,Ball Corporation,Consumer Cyclical,55.63999939,56.20999908,55.25999832,56.08000183,56.08000183,2401000,2026-01-25 21:27:44 UTC
23/01/2026,BALL,Ball Corporation,Consumer Cyclical,56.38000107,57.5,56.27000046,57.36000061,57.36000061,1736600,2026-01-25 21:27:44 UTC
19/01/2026,BAX,Baxter International Inc.,Healthcare,20.20000076,20.40999985,20.05999947,20.11000061,20.11000061,7638900,2026-01-25 21:27:44 UTC
23/01/2026,BAX,Baxter International Inc.,Healthcare,19.87999916,20.02000046,19.43000031,19.84000015,19.84000015,7414000,2026-01-25 21:27:44 UTC
