PS C:\Quant\scripts> & "C:\Quant\quant_freshness_audit.ps1"
=== Quant Freshness Audit ===

=== Freshness Report ===

FileName                                                               Cadence LastUpdated         Status
factor_returns_alignment_v1.py                                         Daily   23/01/2026 16:26:40 RED
attribution_sector_v1.py                                               Daily   23/01/2026 16:40:48 RED
attribution_regime_summary_v1.py                                       Daily   23/01/2026 16:46:26 RED
attribution_rolling_v1.py                                              Daily   23/01/2026 16:49:08 RED
attribution_expected_vs_realised_v1.py                                 Daily   24/01/2026 12:01:50 RED
liquidity_costs_enhanced_v1.py                                         Daily   24/01/2026 12:22:04 RED
logging_attribution_suite_v1.cpython-312.pyc                           Daily   24/01/2026 12:22:26 RED
quant_data_lineage.txt                                                 Daily   24/01/2026 12:30:08 RED
build_positions_timeseries_v1.py                                       Daily   24/01/2026 12:36:04 RED
quant_positions_timeseries.csv                                         Daily   24/01/2026 12:39:28 RED
attribution_dashboard_v1.py                                            Daily   24/01/2026 13:03:14 RED
run_attribution_suite_v1.py                                            Daily   24/01/2026 13:56:36 RED
summary_engine_v1.py                                                   Daily   24/01/2026 14:10:06 RED
quant_summary_v1.csv                                                   Daily   24/01/2026 14:10:20 RED
risk_engine_v1.py                                                      Daily   24/01/2026 14:22:02 RED
quant_risk_daily_v1.csv                                                Daily   24/01/2026 14:22:06 RED
quant_risk_model_v1.csv                                                Daily   24/01/2026 14:22:06 RED
reporting_engine_v1.py                                                 Daily   24/01/2026 14:26:08 RED
quant_attribution_dashboard_v1.xlsx                                    Daily   25/01/2026 10:48:08 RED
attribution_engine_v1.py                                               Daily   25/01/2026 10:54:52 RED
signal_engine_v1_2.py                                                  Daily   25/01/2026 11:12:34 RED
run_daily_attribution.py                                               Daily   25/01/2026 14:22:16 RED
1_Dashboard_Overview.py                                                Daily   25/01/2026 15:51:56 RED
2_Signals_Watchlist.py                                                 Daily   25/01/2026 15:52:04 RED
3_Ticker_Intelligence.py                                               Daily   25/01/2026 15:52:14 RED
4_Strategy_Performance.py                                              Daily   25/01/2026 15:53:46 RED
page1_top_picks.py                                                     Daily   25/01/2026 17:16:08 RED
page2_5y_verification.py                                               Daily   25/01/2026 17:16:56 RED
development_plan.txt                                                   Daily   25/01/2026 17:29:20 RED
enrich_daily.py                                                        Daily   25/01/2026 17:55:56 RED
ranking_weekly_quant_v1.py                                             Daily   25/01/2026 17:56:52 RED
backtest_weekly_quant_v1.py                                            Daily   25/01/2026 17:57:38 RED
run_growth_pipeline_quant_v1.pyrun_growth_pipeline_quant_v1.py         Daily   25/01/2026 18:02:40 RED
schema_validator_quant_v1.py                                           Daily   25/01/2026 18:03:32 RED
directory_auditor_quant_v1.py                                          Daily   25/01/2026 18:06:10 RED
quant_runbook_v1.txt                                                   Daily   25/01/2026 18:07:00 RED
bootstrap_quant_v1.py                                                  Daily   25/01/2026 18:08:16 RED
Quant v1.0 — Master Manifest.txt                                       Daily   25/01/2026 18:09:24 RED
compliance_checker_quant_v1.py                                         Daily   25/01/2026 18:10:32 RED
quant_operator_certification_v1.txt                                    Daily   25/01/2026 18:11:36 RED
quant_incident_response_v1.txt                                         Daily   25/01/2026 18:12:26 RED
Quant v1.0 — Governance Charter.txt                                    Daily   25/01/2026 18:13:22 RED
compliance_checker_quant_v1.py                                         Daily   25/01/2026 18:14:26 RED
Quant v1.0 — Architectural Blueprint.txt                               Daily   25/01/2026 18:15:24 RED
Quant v1.0 — Data Dictionary.txt                                       Daily   25/01/2026 18:16:20 RED
Quant v1.0 — Mathematical Specifica.txt                                Daily   25/01/2026 18:20:54 RED
Quant v1.0 — Computational Pipeline Specification.txt                  Daily   25/01/2026 18:23:00 RED
Quant v1.0 — Execution Timing Speci.txt                                Daily   25/01/2026 18:37:22 RED
Quant v1.0 — Data Provenance Specif.txt                                Daily   25/01/2026 18:41:30 RED
Quant v1.0 — Regime Classification.txt                                 Daily   25/01/2026 18:42:50 RED
Quant v1.0 — Risk Model Specificati.txt                                Daily   25/01/2026 18:47:36 RED
Quant v1.0 — Compliance Matrix.txt                                     Daily   25/01/2026 18:48:36 RED
Quant v1.0 — Portfolio Construction.txt                                Daily   25/01/2026 18:49:40 RED
Quant v1.0 — Signal Stability Speci.txt                                Daily   25/01/2026 18:51:50 RED
Quant v1.0 — Universe Selection Spe.txt                                Daily   25/01/2026 18:52:46 RED
Quant v1.0 — Factor Exposure Specif.txt                                Daily   25/01/2026 18:53:36 RED
Quant v1.0 — Turnover & Transaction.txt                                Daily   25/01/2026 18:54:30 RED
enrichment_10stock_weekly.py                                           Daily   25/01/2026 19:19:32 RED
ranking_10stock_weekly.py                                              Daily   25/01/2026 19:21:06 RED
run_pipeline_10stock_weekly.py                                         Daily   25/01/2026 19:31:32 RED
backtest_10stock_weekly.py                                             Daily   25/01/2026 19:45:46 RED
quant_backtest_regime_10stock_v1.py                                    Daily   25/01/2026 20:52:16 RED
position_sizing_engine_quant_v1_regime.py                              Daily   25/01/2026 20:54:20 RED
optimiser_regime_quant_v1.py                                           Daily   25/01/2026 20:58:04 RED
regime_factor_weighting_quant_v1.py                                    Daily   25/01/2026 21:00:08 RED
risk_regime_quant_v1.py                                                Daily   25/01/2026 21:06:30 RED
regime_suite_runner_quant_v1.py                                        Daily   25/01/2026 21:08:02 RED
turnover_regime_quant_v1.py                                            Daily   25/01/2026 21:34:00 RED
returns_timeseries_quant_v1.py                                         Daily   25/01/2026 21:46:28 RED
quant_returns_timeseries_v1.csv                                        Daily   25/01/2026 21:46:46 RED
factor_returns_quant_v1.py                                             Daily   25/01/2026 21:59:40 RED
quant_factor_returns_v1.csv                                            Daily   25/01/2026 22:00:00 RED
factor_exposure_report_quant_v1.py                                     Daily   25/01/2026 22:05:06 RED
analytics_suite_runner.py                                              Daily   25/01/2026 22:36:12 RED
reporting_engine.py                                                    Daily   25/01/2026 22:36:40 RED
return_engine.py                                                       Daily   25/01/2026 22:39:48 RED
run_returns_pipeline_quant_v2.py                                       Daily   25/01/2026 22:47:26 RED
return_engine.cpython-312.pyc                                          Daily   25/01/2026 22:47:30 RED
reporting_engine_returns_v2.py                                         Daily   25/01/2026 22:50:00 RED
__init__.cpython-312.pyc                                               Daily   25/01/2026 22:51:30 RED
reporting_engine_returns_v2.cpython-312.pyc                            Daily   25/01/2026 22:51:30 RED
dashboard_canonical.csv                                                Daily   25/01/2026 22:56:26 RED
dashboard_recomputed.csv                                               Daily   25/01/2026 22:56:26 RED
lastweek.csv                                                           Daily   26/01/2026 07:42:10 RED
quant_portfolio_weights_regime_history_v1.csv                          Daily   26/01/2026 12:25:28 RED
quant_weekly_10x10_picks_v1.csv                                        Daily   26/01/2026 12:57:04 RED
quant_weekly_10x10_perf_v1.csv                                         Daily   26/01/2026 12:57:04 RED
inspect_selection_file.py                                              Daily   29/01/2026 13:40:28 RED
