date,portfolio_type,daily_return,rolling_vol_63,target_ann_vol,leverage_cap,applied_leverage,optimised_daily_return,optimised_cumulative_return
2024-03-18,longonly,0.0058376092785927,0.0085283196107718,0.15,2.0,1.1079687742114943,0.006467888796727999,4.00101302041302
2024-03-19,longonly,0.0068767324320614,0.0084339775091126,0.15,2.0,1.1203624642135062,0.0077044328933212475,4.008717453306342
2024-03-20,longonly,0.0150203981878206,0.0085043436853038,0.15,2.0,1.111092422282923,0.01668905060615962,4.025406503912501
2024-03-21,longonly,0.0156449106290353,0.0085413095738885,0.15,2.0,1.106283731257957,0.017307710105886442,4.042714214018388
2024-03-22,longonly,-0.0024979175685135,0.0086159089431463,0.15,2.0,1.0967051633881493,-0.0027394790951067263,4.039974734923281
2024-03-25,longonly,0.0072095883650206,0.0086162646031242,0.15,2.0,1.096659893871469,0.007906466411240468,4.047881201334522
2024-03-26,longonly,0.0002400324261002,0.0086287386603652,0.15,2.0,1.0950745175113181,0.0002628533931987476,4.048144054727721
2024-03-27,longonly,0.0120653284400253,0.0085182666539921,0.15,2.0,1.1092763597394943,0.013383783611012657,4.061527838338733
2024-03-28,longonly,0.0050947655668701,0.0084768564747812,0.15,2.0,1.1146952709818736,0.005679111084151384,4.067206949422885
2024-03-29,longonly,0.0,0.0084940329952967,0.15,2.0,1.1124411490351902,0.0,4.067206949422885
2024-04-01,longonly,0.0020355256343856,0.0082601352275971,0.15,2.0,1.1439415414969494,0.0023285223319556188,4.069535471754841
2024-04-02,longonly,-0.0049031271690907,0.0083674156338841,0.15,2.0,1.129274824949082,-0.005536978075577988,4.063998493679263
2024-04-03,longonly,0.0105044058242811,0.0083774868177488,0.15,2.0,1.1279172418644103,0.011848100444747586,4.07584659412401
2024-04-04,longonly,-0.0090783512254209,0.0085067280618453,0.15,2.0,1.1107809908268016,-0.010084059969246736,4.065762534154763
2024-04-05,longonly,0.0147797839781827,0.0085309575619346,0.15,2.0,1.1076261670076655,0.016370475476955807,4.082133009631719
2024-04-08,longonly,0.0030009190958915,0.0085441554304674,0.15,2.0,1.105915254249275,0.0033187622049143523,4.085451771836634
2024-04-09,longonly,0.0036171583511636,0.0085390758165498,0.15,2.0,1.1065731266745655,0.004002650226324121,4.089454422062958
2024-04-10,longonly,-0.0030007181679696,0.0086214331047412,0.15,2.0,1.0960024523108942,-0.003288794470788535,4.08616562759217
2024-04-11,longonly,0.0088439533738128,0.0085840521182725,0.15,2.0,1.1007752160680344,0.009735204685954407,4.095900832278124
2024-04-12,longonly,-0.0170626208713453,0.0090554392370378,0.15,2.0,1.0434736049669147,-0.0178043945108064,4.078096437767318
2024-04-15,longonly,-0.0090900910422983,0.0091667152439171,0.15,2.0,1.0308067365244027,-0.009370127082021217,4.068726310685297
2024-04-16,longonly,0.0019305874719622,0.0091345030771452,0.15,2.0,1.0344418021898356,0.001997080383781697,4.0707233910690785
2024-04-17,longonly,-0.0004090011293718,0.0090295437077102,0.15,2.0,1.0464661483572215,-0.0004280058365274612,4.070295385232551
