date,portfolio_type,gross_turnover,cost_per_unit,daily_return,cost_adjusted_return
2024-01-29,longonly,0.2549019607843124,0.001,0.0107719528556141,0.010517050894829788
2024-01-30,longonly,0.2745098039215672,0.001,0.0069391149753666,0.006664605171445032
2024-01-31,longonly,0.3333333333333316,0.001,-0.0082510359514418,-0.008584369284775132
2024-02-01,longonly,0.5294117647058796,0.001,0.0231153632632521,0.02258595149854622
2024-02-02,longonly,0.3333333333333316,0.001,0.0156497912341222,0.01531645790078887
2024-02-05,longonly,0.2745098039215672,0.001,0.0024180321494322,0.002143522345510633
2024-02-06,longonly,0.294117647058822,0.001,0.0077192110777123,0.007425093430653478
2024-02-07,longonly,0.2549019607843124,0.001,0.0133578057711718,0.013102903810387489
2024-02-08,longonly,0.3137254901960769,0.001,0.0175626636365999,0.017248938146403825
2024-02-09,longonly,0.31372549019607676,0.001,0.0101033591266451,0.009789633636449023
2024-02-12,longonly,0.21568627450980282,0.001,0.0069822635831306,0.0067665773086207975
2024-02-13,longonly,0.196078431372548,0.001,-0.0087547785523928,-0.008950856983765347
2024-02-14,longonly,0.2352941176470576,0.001,0.024465155831827,0.02422986171417994
2024-02-15,longonly,0.2156862745098028,0.001,0.0155671590235901,0.015351472749080296
2024-02-16,longonly,0.1568627450980384,0.001,5.094699268592322e-05,-0.00010591575241211519
2024-02-19,longonly,0.0784313725490192,0.001,0.0,-7.84313725490192e-05
2024-02-20,longonly,0.196078431372548,0.001,-0.0065940949750752,-0.006790173406447748
2024-02-21,longonly,0.294117647058822,0.001,-0.0002709129905665,-0.000565030637625322
2024-02-22,longonly,0.1764705882352932,0.001,0.0267037635530182,0.026527292964782907
2024-02-23,longonly,0.1372549019607836,0.001,0.0025762928692983,0.0024390379673375163
2024-02-26,longonly,0.196078431372548,0.001,0.0093073124756546,0.009111234044282053
2024-02-27,longonly,0.2745098039215672,0.001,0.0112684028185957,0.010993893014674133
2024-02-28,longonly,0.2549019607843124,0.001,0.005788792656546,0.0055338906957616875
2024-02-29,longonly,0.29411764705882204,0.001,0.0129615565433498,0.012667438896290979
2024-03-01,longonly,0.43137254901960564,0.001,0.0209214130949854,0.020490040545965794
2024-03-04,longonly,0.2156862745098028,0.001,0.0099178339631505,0.009702147688640696
2024-03-05,longonly,0.2549019607843124,0.001,-0.004486643916713,-0.0047415458774973124
2024-03-06,longonly,0.294117647058822,0.001,0.0177835098612943,0.017489392214235476
2024-03-07,longonly,0.21568627450980282,0.001,0.0138630442535824,0.013647357979072596
2024-03-08,longonly,0.31372549019607676,0.001,-0.0044510031298222,-0.0047647286200182765
2024-03-11,longonly,0.3333333333333316,0.001,-0.0034381285294912,-0.0037714618628245317
2024-03-12,longonly,0.3333333333333316,0.001,0.0122583121157884,0.011924978782455069
2024-03-13,longonly,0.3529411764705864,0.001,0.0088479515994057,0.008495010422935113
2024-03-14,longonly,0.4117647058823508,0.001,-0.004372521213001,-0.0047842859188833515
2024-03-15,longonly,0.37254901960784115,0.001,0.0044135679266009,0.004041018906993059
2024-03-18,longonly,0.2549019607843124,0.001,0.0058376092785927,0.005582707317808387
2024-03-19,longonly,0.2352941176470576,0.001,0.0068767324320614,0.006641438314414342
2024-03-20,longonly,0.29411764705882204,0.001,0.0150203981878206,0.014726280540761779
2024-03-21,longonly,0.31372549019607676,0.001,0.0156449106290353,0.015331185138839224
2024-03-22,longonly,0.3529411764705864,0.001,-0.0024979175685135,-0.002850858744984086
2024-03-25,longonly,0.392156862745096,0.001,0.0072095883650206,0.006817431502275504
2024-03-26,longonly,0.21568627450980282,0.001,0.0002400324261002,2.434615159039715e-05
2024-03-27,longonly,0.3333333333333316,0.001,0.0120653284400253,0.011731995106691968
2024-03-28,longonly,0.392156862745096,0.001,0.0050947655668701,0.004702608704125004
2024-03-29,longonly,0.1568627450980384,0.001,0.0,-0.0001568627450980384
2024-04-01,longonly,0.4705882352941152,0.001,0.0020355256343856,0.0015649373990914847
2024-04-02,longonly,0.3333333333333316,0.001,-0.0049031271690907,-0.005236460502424031
2024-04-03,longonly,0.3529411764705864,0.001,0.0105044058242811,0.010151464647810512
2024-04-04,longonly,0.3333333333333316,0.001,-0.0090783512254209,-0.009411684558754232
2024-04-05,longonly,0.3333333333333316,0.001,0.0147797839781827,0.014446450644849368
2024-04-08,longonly,0.3137254901960768,0.001,0.0030009190958915,0.002687193605695423
2024-04-09,longonly,0.49019607843137003,0.001,0.0036171583511636,0.00312696227273223
2024-04-10,longonly,0.5098039215686248,0.001,-0.0030007181679696,-0.003510522089538225
2024-04-11,longonly,0.4117647058823508,0.001,0.0088439533738128,0.008432188667930449
