week_start,lo_weekly_return,ls_weekly_return,spread_weekly_return,lo_cum_return,ls_cum_return,spread_cum_return,lo_drawdown,ls_drawdown,spread_drawdown
2021-12-06,0.0170724127189197,0.0092331309421727,-0.007839281776747,0.0681604100630057,-0.0809319834576891,-0.18282539103439643,-0.5805842016553471,-2.030040023738469,3.6548306163005715
2021-12-13,0.0086759362991727,0.0273730749540774,0.018697138654904702,0.0774277017380105,-0.0557742657529811,-0.1675465640652991,-0.5235591847463825,-1.7098519468540003,3.265823645471598
2021-12-20,0.0220630017715218,-0.0258962760816516,-0.0479592778531734,0.1011989910301427,-0.0802261960504421,-0.20747042969912033,-0.3772857942705143,-2.021057304587701,4.282306263241129
2021-12-27,-0.0099778620983946,0.0034027316246123,0.0133805937230069,0.0902113793547527,-0.077096452640253,-0.19686591350545501,-0.4448965659556442,-1.9812243382028865,4.01230970329918
2022-01-03,-0.0554351739702356,0.0133826344161738,0.0688178083864094,0.0297753218758913,-0.0647455718645475,-0.14159598583247934,-0.8167816129039984,-1.8240318293346265,2.6051082744534315
2022-01-10,0.0357248726536996,0.0303598351887822,-0.005365037464917399,0.0665639141118301,-0.0363514015667765,-0.14620135552852365,-0.5904080220123163,-1.4626526736780687,2.7223634091983464
2022-01-17,-0.0824099623216925,0.0051209622256103,0.0875309245473028,-0.0213315778638026,-0.0314165934954376,-0.07146757080070143,-1.1312609585451106,-1.3998462329388024,0.8196019423426036
2022-01-24,0.0471947907340794,0.0044189375272511,-0.0427758532068283,0.0248564735169669,-0.0271364839321618,-0.11118633768991038,-0.8470490762230651,-1.3453722911446444,1.8308626381986373
2022-01-31,0.0392023156162114,0.025185626881032,-0.014016688735179403,0.0650332204530963,-0.0026343064103083,-0.12364456213808572,-0.5998269369264945,-1.033527425394523,2.1480555852942658
2022-02-07,-0.0214058128236563,-0.0004676094163063,0.02093820340735,0.0422353186851014,-0.0031006840001317,-0.10529525372299575,-0.7401107198698169,-1.039463120569273,1.6808725418709753
2022-02-14,-0.0220774551534248,0.0018046077917959,0.0238820629452207,0.0192254151775157,-0.0013016717268423,-0.0839278586550205,-0.881699026638315,-1.0165666763513508,1.13684742484394
2022-02-21,0.0121688755129037,-0.0298430416707552,-0.042011917183658896,0.0316282423743985,-0.0311058675540117,-0.12241380559146287,-0.8053799190258046,-1.3958915522006266,2.116719876276941
2022-02-28,-0.0212958312077018,0.045810133956609,0.0671059651643108,0.0096588614556951,0.0132793024431114,-0.06352253700080346,-0.9405655117861516,-0.8309912543922297,0.6173172029523836
2022-03-07,-0.0391146946739162,-0.0509084480783299,-0.011793753404413701,-0.0298336366349583,-0.03830517431416,-0.07456712126820697,-1.1835772190221403,-1.4875187901516207,0.8985181275140556
2022-03-14,0.0550962031112908,-0.0973893112952617,-0.1524855144065525,0.0236188463727444,-0.1319639710639207,-0.21568222983036112,-0.8546646462624364,-2.679535902618354,4.491383013738269
2022-03-21,0.036824933101234,0.006512194792335,-0.030312738308898995,0.0613135419115831,-0.1263111513567241,-0.2394570491485326,-0.6227154721279718,-2.6075911621507712,5.096702418406837
2022-03-28,0.0137727062555784,-0.0076658237083796,-0.021438529963958,0.075930701569399,-0.1330086960464006,-0.2557619719892389,-0.5327707713589023,-2.692832358478926,5.511834329822024
2022-04-04,-0.0742677386304311,-0.0257703104122023,0.04849742821822879,-0.0039762385592134,-0.1553513310739649,-0.2196683416485108,-1.0244672423211618,-2.977192228717418,4.59287151720128
2022-04-11,-0.0015113922593693,0.0006792393125305,0.0021906315718998,-0.005481621162403,-0.1547776124927538,-0.2179589224811731,-1.0337304091029822,-2.9698903799826857,4.549348806098655
2022-04-18,-0.0770104331689396,-0.0250968956183592,0.051913537550580396,-0.082069912311158,-0.1759900705263235,-0.1773604036373031,-1.5050060256421829,-3.2398662268970564,3.515689162754325
2022-04-25,-0.0358044785717601,-0.0082452015963803,0.0275592769753798,-0.114935920466187,-0.1827841985122531,-0.1546890511502288,-1.707242529736001,-3.3263366611175123,2.9384646039953006
2022-05-02,0.0023288413977393,0.1091723966303453,0.106843555232606,-0.1128747465981165,-0.0935667908996471,-0.06437302409807177,-1.6945593771169836,-2.1908461327874247,0.63897105177904
2022-05-09,0.0079933247280807,-0.0114312299555073,-0.019424554683588,-0.1057836663731943,-0.1039284373521817,-0.0825471614549188,-1.6509253809172462,-2.3227211975264237,1.1016941479248454
2022-05-16,-0.0330041427398997,-0.0263824356401623,0.006621707099737396,-0.1352965098885632,-0.1275689876827175,-0.07647205748025054,-1.8325286431772176,-2.6235999352430888,0.947018805410879
2022-05-23,0.0589457344548672,-0.0199893723555167,-0.0789351068103839,-0.0843259275782576,-0.1450083360424281,-0.14937083426542097,-1.5188881082683534,-2.845554544916171,2.8030600048886445
2022-05-30,-0.0098484255006964,-0.0046524976953547,0.0051959278053417,-0.0933438754634226,-0.1489861827885382,-0.144951026531146,-1.574378822132761,-2.896181518106978,2.690529375290294
2022-06-06,-0.0949327873802576,-0.0075500822606611,0.08738270511959649,-0.1794152685610619,-0.155411407113444,-0.07023453421970338,-2.1040074147030405,-2.977956830330865,0.7882081824508582
2022-06-13,-0.0765450100809856,-0.0307056895782966,0.045839320502689004,-0.2422269351013583,-0.1813450822679889,-0.02761471704146845,-2.490510448399648,-3.308020696685734,-0.0
2022-06-20,0.0571195571901021,-0.0232868475123443,-0.0804064047024464,-0.1989432731837612,-0.2004089745024451,-0.10580072162973497,-2.224170330996187,-3.550651251020198,2.831316521217879
2022-06-27,-0.0159502393452546,0.0303492862622838,0.0462995256075384,-0.2117203197056065,-0.1761419575768666,-0.06439971924258847,-2.3027921462477807,-3.24179932842828,1.3320796351409556
2022-07-04,-0.008787886389616,-0.0145926879524936,-0.0058048015628776005,-0.2186476319792765,-0.1881642609070997,-0.06983069321455782,-2.3454184186683587,-3.394809956348184,1.528749185070211
2022-07-11,-0.0321363810277708,-0.0193272523031504,0.012809128724620398,-0.2437574693949414,-0.2038548150652628,-0.05791603482825214,-2.499928382682081,-3.5945072587872557,1.0972887298204368
2022-07-18,0.0439457001352644,0.0177383488058981,-0.026207351329366302,-0.2105238619154379,-0.1897325140747541,-0.08260556028527066,-2.29542990622039,-3.414769476194663,1.9913600114469252
2022-07-25,0.001718389760367,-0.0110960001408919,-0.0128143899012589,-0.2091672342036993,-0.1987232422127408,-0.09436141032902223,-2.2870820823993565,-3.529196547286026,2.417069607750159
2022-08-01,0.0658691598162333,0.0281313930056607,-0.0377377668105726,-0.1570757443655489,-0.1761822108331259,-0.12853818824068142,-1.9665441957106693,-3.242311640906751,3.6546987263225716
2022-08-08,0.043752480307521,0.0006025278439709,-0.0431499524635501,-0.1201957174701707,-0.1756858376767942,-0.1661417239918953,-1.7396079740975805,-3.2359941852373457,5.016419568681573
2022-08-15,-0.1091563651364429,-0.026502931480776,0.08265343365566691,-0.216231954982603,-0.1975325794394794,-0.09722047429763059,-2.330553879338768,-3.514042707495656,2.5206036749040956
2022-08-22,-0.0047583043883803,-0.011081200414839,-0.0063228960264586995,-0.2199613619106816,-0.2064248817530894,-0.10292865537346241,-2.35350227684175,-3.627217090414234,2.727311607752365
2022-08-29,-0.0205429687922242,0.0073946976581601,0.0279376664503843,-0.2359856713096796,-0.2005566336846148,-0.07786657536508845,-2.452105681857798,-3.552530543495303,1.8197491666547887
2022-09-05,0.025622027823488,-0.0521272104300385,-0.0777492382535265,-0.2164100749224327,-0.2422293862674353,-0.1495617466985686,-2.331649916124575,-4.082909279141841,4.416015904634286
2022-09-12,-0.0289994703278979,0.0276324776300271,0.056631947957925,-0.2391337677039594,-0.2212903067347782,-0.10139977179617332,-2.4714770641785955,-3.81641278347452,2.6719467972061195
2022-09-19,-0.0959654036717941,-0.0031248176455301,0.092840586026264,-0.312150602826486,-0.2237236325250388,-0.017973200006395462,-2.9207762125728896,-3.8473822821532937,-0.0
2022-09-26,0.0131701642667605,-0.030083971253914,-0.0432541355206745,-0.3030915132749185,-0.2470771084492483,-0.060449920298253135,-2.865032339068693,-4.144607357675191,2.3633365386655156
2022-10-03,-0.0145281800955509,-0.0009794517892264,0.0135487283063245,-0.3132163252801784,-0.2478145601225272,-0.04772021153818862,-2.9273339905163622,-4.153993075244404,1.6550759754082844
2022-10-10,-0.0033863674405264,-0.0114983706562459,-0.0081120032157195,-0.3155420271549347,-0.2564634671124698,-0.05544510824445548,-2.941644880189868,-4.264069709729579,2.0848768290970034
2022-10-17,0.0294580147267859,0.0022705358311801,-0.0271874788956058,-0.2953792541109987,-0.2547752407727572,-0.0811251744298006,-2.817576002886351,-4.242583263645597,3.5136744931861643
